MDDv1.9_Name,MDDv1.10_Name,Comment,Category,Reference
Microtus_irani,Microtus_schidlovskii,split from M. irani,split,"Mahmoudi, A., Golenishchev, F. N., Malikov, V. G., Arslan, A., Pavlova, S. V., Petrova, T. V., & Kryštufek, B. (2022). Taxonomic evaluation of the “irani–schidlovskii” species complex (Rodentia: Cricetidae) in the Middle East: a morphological and genetic combination. Zoologischer Anzeiger, 300, 1-11."
Alticola_argentatus,Alticola_parvidens,split from A. argentatus,split,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Dinaromys_bogdanovi,Dinaromys_longipedis,split from D. bogdanovi,split,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Microtus_subterraneus,Microtus_fingeri,split from M. subterraneus,split,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Microtus_mystacinus,Microtus_rossiaemeridionalis,split from M. mystacinus,split,"Kryštufek, B., & Shenbrot, G. (2022). Voles and Lemmings (Arvicolinae) of the Palaearctic Region. University of Maribor Press, Maribor. "
Nectogale_elegans,Nectogale_sikhimensis,split from N. elegans,split,"Fan, R., Tang, K., Dou, L., Fu, C., Faiz, A. U. H., Wang, X., ... & Liu, S. (2022). Molecular phylogeny and taxonomy of the genus Nectogale (Mammalia: Eulipotyphla: Soricidae). Ecology and Evolution, 12(10), e9404."
Peromyscus_mexicanus,Peromyscus_totontepecus,split from P. mexicanus,split,"Hernández-Canchola, G., León-Paniagua, L., & Esselstyn, J. A. (2022). Paraphyletic relationships revealed by mitochondrial DNA in the Peromyscus mexicanus species group (Rodentia: Cricetidae). Revista Mexicana de Biodiversidad, 93, e933811-e933811."
Proteles_cristatus,Proteles_septentrionalis,split from P. cristatus,split,"Allio, R., Tilak, M. K., Scornavacca, C., Avenant, N. L., Kitchener, A. C., Corre, E., ... & Delsuc, F. (2021). High-quality carnivoran genomes from roadkill samples enable comparative species delineation in aardwolf and bat-eared fox. Elife, 10, e63167."
Lophostoma_brasiliense,Lophostoma_nicaraguae,split from L. brasiliense,split,"Esquivel, D. A., Pereira, M. J. R., Stuhler, J. D., Rossoni, D. M., Velazco, P. M., & Bianchi, F. M. (2022). Multiples lines of evidence unveil cryptic diversity in the Lophostoma brasiliense (Chiroptera: Phyllostomidae) complex. Systematics and Biodiversity, 20(1), 2110172."
Bradypus_torquatus,Bradypus_crinitus,split from B. torquatus,split,"Miranda, F. R., Garbino, G. S., Machado, F. A., Perini, F. A., Santos, F. R., & Casali, D. M. (2022). Taxonomic revision of maned sloths, subgenus Bradypus (Scaeopus), Pilosa, Bradypodidae, with revalidation of Bradypus crinitus Gray, 1850. Journal of Mammalogy, gyac059."
Myotis_chiloensis,Myotis_arescens,split from M. chiloensis,split,"Novaes, R. L. M., Rodríguez-San Pedro, A., Saldarriaga-Córdoba, M. M., Aguilera-Acuña, O., Wilson, D., & Moratelli, R. (2022). Systematic review of Myotis (Chiroptera, Vespertilionidae) from Chile based on molecular, morphological, and bioacoustic data. Zootaxa, 5188(5), 430-452."
Sorex_bedfordiae,Sorex_wardi,split from S. bedfordiae,split,"Chen, S., Tang, K., Wang, X., Li, F., Fu, C., Liu, Y., ... & Liu, S. (2022). Multi-locus phylogeny and species delimitations of the striped-back shrew group (Eulipotyphla: Soricidae): Implications for cryptic diversity, taxonomy and multiple speciation patterns. Molecular Phylogenetics and Evolution, 177, 107619."
Sorex_bedfordiae,Sorex_gomphus,split from S. bedfordiae,split,"Chen, S., Tang, K., Wang, X., Li, F., Fu, C., Liu, Y., ... & Liu, S. (2022). Multi-locus phylogeny and species delimitations of the striped-back shrew group (Eulipotyphla: Soricidae): Implications for cryptic diversity, taxonomy and multiple speciation patterns. Molecular Phylogenetics and Evolution, 177, 107619."
Sorex_bedfordiae,Sorex_nepalensis,split from S. bedfordiae,split,"Chen, S., Tang, K., Wang, X., Li, F., Fu, C., Liu, Y., ... & Liu, S. (2022). Multi-locus phylogeny and species delimitations of the striped-back shrew group (Eulipotyphla: Soricidae): Implications for cryptic diversity, taxonomy and multiple speciation patterns. Molecular Phylogenetics and Evolution, 177, 107619."
Artibeus_lituratus,Artibeus_intermedius,split from A. lituratus,split,"Redondo, R. A., Brina, L. P., Silva, R. F., Ditchfield, A. D., & Santos, F. R. (2008). Molecular systematics of the genus Artibeus (Chiroptera: Phyllostomidae). Molecular phylogenetics and evolution, 49(1), 44-58.|Larsen, P. A., Marchán-Rivadeneira, M. R., & Baker, R. J. (2013). Speciation dynamics of the fruit-eating bats (genus Artibeus): with evidence of ecological divergence in Central American populations. In Bat evolution, ecology, and conservation (pp. 315-339). Springer, New York, NY.|York, H. A., Rodríguez-Herrera, B., Laval, R. K., Timm, R. M., & Lindsay, K. E. (2019). Field key to the bats of Costa Rica and Nicaragua. Journal of Mammalogy, 100(6), 1726-1749.|Simmons NB, Cirranello AL (2020) Bat species of the world: A taxonomic and geographic database. https://batnames.org|Turcios-Casco, M. A., Ávila-Palma, H. D., LaVal, R. К., Stevens, R. D., Ordoñez-Trejo, E. J., Soler-Orellana, J. A., & Ordoñez-Mazier, D. I. (2020). A systematic revision of the bats (Chiroptera) of Honduras: an updated checklist with corroboration of historical specimens and new records. Zoosystematics and Evolution, 96, 411."
Hipposideros_larvatus,Hipposideros_poutensis,split from H. larvatus,split,"Yuzefovich, A. P., Artyushin, I. V., Skopin, A. E., Son, N. T., & Kruskop, S. V. (2022). Taxonomic diversity of the Hipposideros larvatus species complex (Chiroptera: Hipposideridae) in mainland Asia. Zootaxa, 5200(1), 73-95."
Scarturus_elater,Scarturus_heptneri,split from S. elater,split,"Lebedev, V. S., Shenbrot, G. I., Krystufek, B., Mahmoudi, A., Melnikova, M. N., Solovyeva, E. N., ... & Bannikova, A. A. (2022). Phylogenetic relations and range history of jerboas of the Allactaginae subfamily (Dipodidae, Rodentia). Scientific reports, 12(1), 1-15."
Scarturus_elater,Scarturus_indicus,split from S. elater,split,"Lebedev, V. S., Shenbrot, G. I., Krystufek, B., Mahmoudi, A., Melnikova, M. N., Solovyeva, E. N., ... & Bannikova, A. A. (2022). Phylogenetic relations and range history of jerboas of the Allactaginae subfamily (Dipodidae, Rodentia). Scientific reports, 12(1), 1-15."
Scarturus_euphraticus,Scarturus_caprimulga,split from S. euphraticus,split,"Lebedev, V. S., Shenbrot, G. I., Krystufek, B., Mahmoudi, A., Melnikova, M. N., Solovyeva, E. N., ... & Bannikova, A. A. (2022). Phylogenetic relations and range history of jerboas of the Allactaginae subfamily (Dipodidae, Rodentia). Scientific reports, 12(1), 1-15."
